name,moviestatus,criticstatus,userstatus,link
Hollow Man,0,0,0,hollow_man
Upgrade,0,0,0,upgrade
Deep Blue Sea,0,0,0,deep_blue_sea
Under the Skin,0,0,0,under_the_skin
Captain America: The Winter Soldier,0,0,0,captain_america_the_winter_soldier
Fantastic Four,0,0,0,fantastic_four
Transformers: Revenge of the Fallen,0,0,0,transformers_revenge_of_the_fallen
Down to Earth,0,0,0,down_to_earth
The Wolverine,0,0,0,the_wolverine
A Clockwork Orange,0,0,0,a_clockwork_orange
Girl vs. Monster,0,0,0,girl_vs_monster
Knowing,0,0,0,knowing
Men in Black,0,0,0,men_in_black
Hellboy,0,0,0,hellboy
Godzilla 2000,0,0,0,godzilla_2000
Chronicle,0,0,0,chronicle
Ant-Man and the Wasp,0,0,0,ant_man_and_the_wasp
Robots,0,0,0,robots
Star Wars Episode III: Revenge of the Sith,0,0,0,star_wars_episode_iii_revenge_of_the_sith
War of the Worlds,0,0,0,war_of_the_worlds
The Mask,0,0,0,the_mask
Passengers,0,0,0,passengers
The Day the Earth Stood Still,0,0,0,the_day_the_earth_stood_still
Fire in the Sky,0,0,0,fire_in_the_sky
The Day the Earth Stood Still,0,0,0,the_day_the_earth_stood_still
Glass,0,0,0,glass
The Matrix Reloaded,0,0,0,the_matrix_reloaded
Journey 2: The Mysterious Island,0,0,0,journey_2_the_mysterious_island
Arrival,0,0,0,arrival
Space Jam,0,0,0,space_jam
Limitless,0,0,0,limitless
The Hunger Games: Mockingjay - Part 2,0,0,0,the_hunger_games_mockingjay_part_2
2012,0,0,0,2012
Weird Science,0,0,0,weird_science
The Host,0,0,0,the_host
Naruto the Movie: Legend of the Stone of Gelel,0,0,0,naruto_the_movie_legend_of_the_stone_of_gelel
The Secret of Moonacre,0,0,0,the_secret_of_moonacre
Terminator: Genisys,0,0,0,terminator_genisys
Left Behind: The Movie,0,0,0,left_behind_the_movie
Underworld: Evolution,0,0,0,underworld_evolution
X-Men 2,0,0,0,x_men_2
The Girl with All the Gifts,0,0,0,the_girl_with_all_the_gifts
Riddick,0,0,0,riddick
"I, Robot",0,0,0,i_robot
Ben 10: Race Against Time,0,0,0,ben_10_race_against_time
X-Men: Days of Future Past,0,0,0,x_men_days_of_future_past
Teenage Mutant Ninja Turtles,0,0,0,teenage_mutant_ninja_turtles
Aliens in the Attic,0,0,0,aliens_in_the_attic
Looper,0,0,0,looper
Children of Men,0,0,0,children_of_men
Men in Black: International,0,0,0,men_in_black_international
Justice League: The Flashpoint Paradox,0,0,0,justice_league_the_flashpoint_paradox
Alien,0,0,0,alien
Baby Geniuses,0,0,0,baby_geniuses
Volcano,0,0,0,volcano
Jumper,0,0,0,jumper
Happy Death Day 2U,0,0,0,happy_death_day_2u
Blade 2,0,0,0,blade_2
A Quiet Place Part II,0,0,0,a_quiet_place_part_ii
Short Circuit,0,0,0,short_circuit
Deep Impact,0,0,0,deep_impact
X-Men,0,0,0,x_men
Superman,0,0,0,superman
Teen Titans: The Judas Contract,0,0,0,teen_titans_the_judas_contract
Superman/Shazam!: The Return of Black Adam,0,0,0,superman_shazam_the_return_of_black_adam
Deep Impact,0,0,0,deep_impact
Spawn,0,0,0,spawn
Megalodon,0,0,0,megalodon
Tuck Everlasting,0,0,0,tuck_everlasting
Pitch Black,0,0,0,pitch_black
Planet of the Apes,0,0,0,planet_of_the_apes
Jumper,0,0,0,jumper
Heavy Metal 2000,0,0,0,heavy_metal_2000
Death Race 2,0,0,0,death_race_2
Teen Titans: The Judas Contract,0,0,0,teen_titans_the_judas_contract
Resident Evil: Retribution,0,0,0,resident_evil_retribution
Superman/Shazam!: The Return of Black Adam,0,0,0,superman_shazam_the_return_of_black_adam
The Wraith,0,0,0,the_wraith
Death Race 3: Inferno,0,0,0,death_race_3_inferno
Eternal Sunshine of the Spotless Mind,0,0,0,eternal_sunshine_of_the_spotless_mind
The Scorpion King 2: Rise of a Warrior,0,0,0,the_scorpion_king_2_rise_of_a_warrior
Slither,0,0,0,slither
Phenomenon,0,0,0,phenomenon
A Wrinkle in Time,0,0,0,a_wrinkle_in_time
2001: A Space Odyssey,0,0,0,2001_a_space_odyssey
The Chronicles of Riddick,0,0,0,the_chronicles_of_riddick
Monsters vs. Aliens,0,0,0,monsters_vs_aliens
Jason X,0,0,0,jason_x
Tomorrowland,0,0,0,tomorrowland
Star Trek,0,0,0,star_trek
Annihilation,0,0,0,annihilation
28 Days Later,0,0,0,28_days_later
Atlas Shrugged: Part 2,0,0,0,atlas_shrugged_part_2
Level 16,0,0,0,level_16
Independence Day: Resurgence,0,0,0,independence_day_resurgence
Final Fantasy VII: Advent Children,0,0,0,final_fantasy_vii_advent_children
Resident Evil: The Final Chapter,0,0,0,resident_evil_the_final_chapter
Atlas Shrugged: Part I,0,0,0,atlas_shrugged_part_i
Armageddon,0,0,0,armageddon
"Honey, I Shrunk the Kids",0,0,0,honey_i_shrunk_the_kids
Small Soldiers,0,0,0,small_soldiers
Star Trek Beyond,0,0,0,star_trek_beyond
Dune,0,0,0,dune
Predator,0,0,0,predator
Contact,0,0,0,contact
Signs,0,0,0,signs
G.I. Joe: Retaliation,0,0,0,g_i_joe_retaliation
Superman Returns,0,0,0,superman_returns
The X-Files: Fight the Future,0,0,0,the_x_files_fight_the_future
Invasion Planet Earth,0,0,0,invasion_planet_earth
Dredd,0,0,0,dredd
Ad Astra,0,0,0,ad_astra
Land of the Lost,0,0,0,land_of_the_lost
The League of Extraordinary Gentlemen,0,0,0,the_league_of_extraordinary_gentlemen
Universal Soldier,0,0,0,universal_soldier
Splice,0,0,0,splice
Soylent Green,0,0,0,soylent_green
G.I. Joe: The Rise of Cobra,0,0,0,g_i_joe_the_rise_of_cobra
A.X.L.,0,0,0,a_x_l
Vanilla Sky,0,0,0,vanilla_sky
Terminator 3: Rise of the Machines,0,0,0,terminator_3_rise_of_the_machines
St. Trinian's,0,0,0,st_trinian_s
Attack On Titan: Part 1,0,0,0,attack_on_titan_part_1
Howard the Duck,0,0,0,howard_the_duck
The Black Hole,0,0,0,the_black_hole
Battlestar Galactica,0,0,0,battlestar_galactica
Gravity,0,0,0,gravity
The Mist,0,0,0,the_mist
Aliens,0,0,0,aliens
Jupiter Ascending,0,0,0,jupiter_ascending
King Cobra,0,0,0,king_cobra
Where the Wild Things Are,0,0,0,where_the_wild_things_are
Close Encounters of the Third Kind,0,0,0,close_encounters_of_the_third_kind
Time Bandits,0,0,0,time_bandits
The Omega Man,0,0,0,the_omega_man
Resident Evil: Apocalypse,0,0,0,resident_evil_apocalypse
The Lost World: Jurassic Park,0,0,0,the_lost_world_jurassic_park
Underworld: Rise of the Lycans,0,0,0,underworld_rise_of_the_lycans
Attack the Block,0,0,0,attack_the_block
Source Code,0,0,0,source_code
Godzilla,0,0,0,godzilla
Blast from the Past,0,0,0,blast_from_the_past
Mad Max,0,0,0,mad_max
Space Chimps,0,0,0,space_chimps
Area 51,0,0,0,area_51
Astro Boy,0,0,0,astro_boy
Left Behind,0,0,0,left_behind
The Thing From Another World,0,0,0,the_thing_from_another_world
The Last Starfighter,0,0,0,the_last_starfighter
Forbidden Planet,0,0,0,forbidden_planet
The Abyss,0,0,0,the_abyss
Joker,0,0,0,joker
Zombie Tidal Wave,0,0,0,zombie_tidal_wave
E.T. The Extra-Terrestrial,0,0,0,e_t_the_extra_terrestrial
Barbarella,0,0,0,barbarella
Sharknado,0,0,0,sharknado
Sheena,0,0,0,sheena
Star Wars Episode VII: The Force Awakens,0,0,0,star_wars_episode_vii_the_force_awakens
Wizards of Waverly Place: The Movie,0,0,0,wizards_of_waverly_place_the_movie
Star Wars Episode VI: Return of the Jedi,0,0,0,star_wars_episode_vi_return_of_the_jedi
Cloverfield,0,0,0,cloverfield
Bill & Ted's Excellent Adventure,0,0,0,bill_ted_s_excellent_adventure
Ra.One,0,0,0,ra_one
Fantastic Four,0,0,0,fantastic_four
Aliens vs. Predator: Requiem,0,0,0,aliens_vs_predator_requiem
X-Men: Days of Future Past,0,0,0,x_men_days_of_future_past
Superman,0,0,0,superman
Blade 2,0,0,0,blade_2
Riddick,0,0,0,riddick
Alien,0,0,0,alien
X-Men,0,0,0,x_men
Species III,0,0,0,species_iii
Death Race 2,0,0,0,death_race_2
A Quiet Place Part II,0,0,0,a_quiet_place_part_ii
Watchmen,0,0,0,watchmen
Megalodon,0,0,0,megalodon
Pitch Black,0,0,0,pitch_black
Heavy Metal 2000,0,0,0,heavy_metal_2000
Teen Titans: The Judas Contract,0,0,0,teen_titans_the_judas_contract
Aliens in the Attic,0,0,0,aliens_in_the_attic
Superman/Shazam!: The Return of Black Adam,0,0,0,superman_shazam_the_return_of_black_adam
Spawn,0,0,0,spawn
The Wraith,0,0,0,the_wraith
Star Trek,0,0,0,star_trek
Tuck Everlasting,0,0,0,tuck_everlasting
The Dark Tower,0,0,0,the_dark_tower
Eternal Sunshine of the Spotless Mind,0,0,0,eternal_sunshine_of_the_spotless_mind
Jumper,0,0,0,jumper
Slither,0,0,0,slither
A Wrinkle in Time,0,0,0,a_wrinkle_in_time
Final Fantasy VII: Advent Children,0,0,0,final_fantasy_vii_advent_children
2001: A Space Odyssey,0,0,0,2001_a_space_odyssey
The Chronicles of Riddick,0,0,0,the_chronicles_of_riddick
Monsters vs. Aliens,0,0,0,monsters_vs_aliens
Jason X,0,0,0,jason_x
Tomorrowland,0,0,0,tomorrowland
Death Race 3: Inferno,0,0,0,death_race_3_inferno
Dune,0,0,0,dune
Annihilation,0,0,0,annihilation
28 Days Later,0,0,0,28_days_later
Atlas Shrugged: Part 2,0,0,0,atlas_shrugged_part_2
Signs,0,0,0,signs
Phenomenon,0,0,0,phenomenon
Planet of the Apes,0,0,0,planet_of_the_apes
Code 46,0,0,0,code_46
Daleks' Invasion Earth: 2150 A.D.,0,0,0,daleks_invasion_earth_2150_a_d
The Divide,0,0,0,the_divide
Phantasm IV Oblivion,0,0,0,phantasm_iv_oblivion
How to Talk to Girls at Parties,0,0,0,how_to_talk_to_girls_at_parties
Asylum,0,0,0,asylum
eXistenZ,0,0,0,existenz
Screamers,0,0,0,screamers
Capricorn One,0,0,0,capricorn_one
4:44 Last Day on Earth,0,0,0,4_44_last_day_on_earth
Grabbers,0,0,0,grabbers
Frankenstein and the Monster from Hell,0,0,0,frankenstein_and_the_monster_from_hell
Gor,0,0,0,gor
American Hero,0,0,0,american_hero
Atlas Shrugged: Part I,0,0,0,atlas_shrugged_part_i
Resident Evil: The Final Chapter,0,0,0,resident_evil_the_final_chapter
Apollo 18,0,0,0,apollo_18
"Honey, I Shrunk the Kids",0,0,0,honey_i_shrunk_the_kids
The Angry Red Planet,0,0,0,the_angry_red_planet
Sea Beast,0,0,0,sea_beast
Hood Rat,0,0,0,hood_rat
Don't Let Go,0,0,0,don_t_let_go
Star Trek Beyond,0,0,0,star_trek_beyond
G.I. Joe: Retaliation,0,0,0,g_i_joe_retaliation
Superman Returns,0,0,0,superman_returns
The X-Files: Fight the Future,0,0,0,the_x_files_fight_the_future
Land of the Dead,0,0,0,land_of_the_dead
Impostor,0,0,0,impostor
I Come in Peace,0,0,0,i_come_in_peace
Planet of the Vampires,0,0,0,planet_of_the_vampires
X: The Man with X-Ray Eyes,0,0,0,x_the_man_with_x_ray_eyes
Dr. Jekyll and Mr. Hyde,0,0,0,dr_jekyll_and_mr_hyde
The Killer Shrews,0,0,0,the_killer_shrews
Earth to Echo,0,0,0,earth_to_echo
Invasion Planet Earth,0,0,0,invasion_planet_earth
Dredd,0,0,0,dredd
The League of Extraordinary Gentlemen,0,0,0,the_league_of_extraordinary_gentlemen
Contact,0,0,0,contact
Soylent Green,0,0,0,soylent_green
